ratio,round_label,round_number,local_epoch,local_total_epochs,integrated_epoch,train_loss,val_acc,val_bal_acc,val_auc,new_best_checkpoint,checkpoint_score,data_status,note
5,Round 1,1,1,20,1,0.6467,0.607,0.572,0.592,True,0.592,parsed,
5,Round 1,1,2,20,2,0.5815,0.557,0.519,0.59,False,,parsed,
5,Round 1,1,3,20,3,0.5189,0.623,0.563,0.59,False,,parsed,
5,Round 1,1,4,20,4,0.5874,0.607,0.552,0.6,True,0.6,parsed,
5,Round 1,1,5,20,5,0.5281,0.639,0.594,0.633,True,0.633,parsed,
5,Round 1,1,6,20,6,0.5728,0.639,0.574,0.647,True,0.647,parsed,
5,Round 1,1,7,20,7,0.4809,0.639,0.615,0.676,True,0.676,parsed,
5,Round 1,1,8,20,8,0.4888,0.639,0.554,0.607,False,,parsed,
5,Round 1,1,9,20,9,0.4996,0.656,0.606,0.661,False,,parsed,
5,Round 1,1,10,20,10,0.4654,0.689,0.668,0.729,True,0.729,parsed,
5,Round 1,1,11,20,11,0.5005,0.623,0.543,0.651,False,,parsed,
5,Round 1,1,12,20,12,0.4454,0.623,0.583,0.665,False,,parsed,
5,Round 1,1,13,20,13,0.505,0.639,0.554,0.671,False,,parsed,
5,Round 1,1,14,20,14,0.4634,0.607,0.552,0.629,False,,parsed,
5,Round 1,1,15,20,15,0.4243,0.574,0.61,0.711,False,,parsed,
5,Round 1,1,16,20,16,0.385,0.689,0.688,0.729,False,,parsed,
5,Round 1,1,17,20,17,0.479,0.623,0.603,0.706,False,,parsed,
5,Round 1,1,18,20,18,0.3818,0.656,0.626,0.725,False,,parsed,
5,Round 1,1,19,20,19,0.412,0.705,0.679,0.726,False,,parsed,
5,Round 1,1,20,20,20,0.362,0.639,0.635,0.717,False,,parsed,
5,Round 2,2,1,40,21,0.5605,0.607,0.592,0.689,True,0.689,parsed,
5,Round 2,2,2,40,22,0.5017,0.607,0.552,0.624,False,,parsed,
5,Round 2,2,3,40,23,0.4347,0.656,0.585,0.625,False,,parsed,
5,Round 2,2,4,40,24,0.4769,0.623,0.563,0.66,False,,parsed,
5,Round 2,2,5,40,25,0.4492,0.623,0.603,0.693,True,0.693,parsed,
5,Round 2,2,6,40,26,0.499,0.705,0.659,0.708,True,0.708,parsed,
5,Round 2,2,7,40,27,0.4043,0.705,0.659,0.725,True,0.725,parsed,
5,Round 2,2,8,40,28,0.4085,0.672,0.597,0.646,False,,parsed,
5,Round 2,2,9,40,29,0.4407,0.705,0.659,0.744,True,0.744,parsed,
5,Round 2,2,10,40,30,0.3946,0.689,0.668,0.782,True,0.782,parsed,
5,Round 2,2,11,40,31,0.4676,0.656,0.565,0.674,False,,parsed,
5,Round 2,2,12,40,32,0.3794,0.705,0.639,0.729,False,,parsed,
5,Round 2,2,13,40,33,0.4332,0.672,0.576,0.708,False,,parsed,
5,Round 2,2,14,40,34,0.3948,0.672,0.597,0.689,False,,parsed,
5,Round 2,2,15,40,35,0.411,0.689,0.708,0.775,False,,parsed,
5,Round 2,2,16,40,36,0.3453,0.738,0.722,0.751,False,,parsed,
5,Round 2,2,17,40,37,0.4572,0.672,0.637,0.701,False,,parsed,
5,Round 2,2,18,40,38,0.3341,0.672,0.637,0.726,False,,parsed,
5,Round 2,2,19,40,39,0.3697,0.705,0.639,0.721,False,,parsed,
5,Round 2,2,20,40,40,0.3238,0.705,0.679,0.704,False,,parsed,
5,Round 2,2,21,40,41,0.4121,0.754,0.692,0.739,False,,parsed,
5,Round 2,2,22,40,42,0.3855,0.738,0.701,0.767,False,,parsed,
5,Round 2,2,23,40,43,0.3957,0.721,0.63,0.739,False,,parsed,
5,Round 2,2,24,40,44,0.3284,0.738,0.701,0.731,False,,parsed,
5,Round 2,2,25,40,45,0.3782,0.59,0.541,0.692,False,,parsed,
5,Round 2,2,26,40,46,0.3471,0.77,0.724,0.756,False,,parsed,
5,Round 2,2,27,40,47,0.3778,0.738,0.661,0.753,False,,parsed,
5,Round 2,2,28,40,48,0.3901,0.77,0.724,0.746,False,,parsed,
5,Round 2,2,29,40,49,0.346,0.721,0.65,0.717,False,,parsed,
5,Round 2,2,30,40,50,0.3459,0.689,0.668,0.707,False,,parsed,
5,Round 2,2,31,40,51,0.2908,0.656,0.606,0.654,False,,parsed,
5,Round 2,2,32,40,52,0.3223,0.639,0.594,0.681,False,,parsed,
5,Round 2,2,33,40,53,0.3225,0.754,0.713,0.786,True,0.786,parsed,
5,Round 2,2,34,40,54,0.2598,0.754,0.713,0.76,False,,parsed,
5,Round 2,2,35,40,55,0.3185,0.689,0.648,0.726,False,,parsed,
5,Round 2,2,36,40,56,0.3527,0.738,0.641,0.767,False,,parsed,
5,Round 2,2,37,40,57,0.3175,0.721,0.61,0.756,False,,parsed,
5,Round 2,2,38,40,58,0.2601,0.738,0.621,0.736,False,,parsed,
5,Round 2,2,39,40,59,0.2825,0.721,0.61,0.781,False,,parsed,
5,Round 2,2,40,40,60,0.3087,0.689,0.588,0.765,False,,parsed,
7,Round 1,1,1,20,1,0.4477,0.583,0.588,0.704,True,0.704,parsed,
7,Round 1,1,2,20,2,0.5038,0.667,0.708,0.727,True,0.727,parsed,
7,Round 1,1,3,20,3,0.51,0.639,0.688,0.688,False,,parsed,
7,Round 1,1,4,20,4,0.4659,0.694,0.727,0.742,True,0.742,parsed,
7,Round 1,1,5,20,5,0.5028,0.694,0.727,0.765,True,0.765,parsed,
7,Round 1,1,6,20,6,0.5001,0.722,0.746,0.765,True,0.765,parsed,
7,Round 1,1,7,20,7,0.4958,0.722,0.746,0.781,True,0.781,parsed,
7,Round 1,1,8,20,8,0.4513,0.778,0.785,0.815,False,,parsed,
7,Round 1,1,9,20,9,,,,,False,,missing_in_source,Missing in source log.
7,Round 1,1,10,20,10,,,,,False,,missing_in_source,Missing in source log.
7,Round 1,1,11,20,11,,,,,False,,missing_in_source,Missing in source log.
7,Round 1,1,12,20,12,,,,,False,,missing_in_source,Missing in source log.
7,Round 1,1,13,20,13,,,,,False,,missing_in_source,Missing in source log.
7,Round 1,1,14,20,14,,,,,False,,missing_in_source,Missing in source log.
7,Round 1,1,15,20,15,,,,,False,,missing_in_source,Missing in source log.
7,Round 1,1,16,20,16,0.3755,0.722,0.777,0.835,False,,parsed,
7,Round 1,1,17,20,17,,,,,False,,missing_in_source,Missing in source log.
7,Round 1,1,18,20,18,,,,,False,,missing_in_source,Missing in source log.
7,Round 1,1,19,20,19,0.4159,0.667,0.708,0.808,False,,parsed,
7,Round 1,1,20,20,20,0.3743,0.611,0.638,0.781,False,,parsed,
7,Round 2,2,1,20,21,0.3453,0.722,0.715,0.785,True,0.785,parsed,
7,Round 2,2,2,20,22,,,,,False,,missing_in_source,"Source contains one corrupted row between integrated epochs 22 and 23 (val_bal_acc=0.796, val_auc=0.842, checkpoint_score=0.842). Exact epoch cannot be recovered."
7,Round 2,2,3,20,23,,,,,False,,missing_in_source,"Source contains one corrupted row between integrated epochs 22 and 23 (val_bal_acc=0.796, val_auc=0.842, checkpoint_score=0.842). Exact epoch cannot be recovered."
7,Round 2,2,4,20,24,0.4075,0.778,0.785,0.858,True,0.858,parsed,
7,Round 2,2,5,20,25,0.3999,0.75,0.796,0.842,False,,parsed,
7,Round 2,2,6,20,26,0.4331,0.75,0.765,0.835,False,,parsed,
7,Round 2,2,7,20,27,0.3984,0.778,0.754,0.85,False,,parsed,
7,Round 2,2,8,20,28,0.3344,0.806,0.773,0.862,True,0.862,parsed,
7,Round 2,2,9,20,29,0.3157,0.611,0.7,0.85,False,,parsed,
7,Round 2,2,10,20,30,0.3469,0.722,0.715,0.808,False,,parsed,
7,Round 2,2,11,20,31,0.3528,0.806,0.835,0.858,False,,parsed,
7,Round 2,2,12,20,32,0.2924,0.778,0.754,0.842,False,,parsed,
7,Round 2,2,13,20,33,0.3654,0.833,0.823,0.831,False,,parsed,
7,Round 2,2,14,20,34,0.2905,0.694,0.727,0.869,True,0.869,parsed,
7,Round 2,2,15,20,35,0.3418,0.694,0.758,0.85,False,,parsed,
7,Round 2,2,16,20,36,0.254,0.75,0.796,0.888,True,0.888,parsed,
7,Round 2,2,17,20,37,0.3244,0.806,0.835,0.869,False,,parsed,
7,Round 2,2,18,20,38,0.3783,0.806,0.835,0.842,False,,parsed,
7,Round 2,2,19,20,39,0.3394,0.722,0.808,0.892,True,0.892,parsed,
7,Round 2,2,20,20,40,0.2756,0.75,0.765,0.835,False,,parsed,
7,Round 3,3,1,20,41,0.2318,0.806,0.742,0.831,True,0.831,parsed,
7,Round 3,3,2,20,42,0.3239,0.75,0.765,0.846,True,0.846,parsed,
7,Round 3,3,3,20,43,0.3164,0.833,0.823,0.881,True,0.881,parsed,
7,Round 3,3,4,20,44,0.2712,0.833,0.792,0.892,True,0.892,parsed,
7,Round 3,3,5,20,45,0.2812,0.833,0.854,0.869,False,,parsed,
7,Round 3,3,6,20,46,0.2585,0.806,0.773,0.881,False,,parsed,
7,Round 3,3,7,20,47,0.2688,0.889,0.862,0.862,False,,parsed,
7,Round 3,3,8,20,48,0.2527,0.861,0.873,0.854,False,,parsed,
7,Round 3,3,9,20,49,0.2233,0.722,0.715,0.846,False,,parsed,
7,Round 3,3,10,20,50,0.2501,0.778,0.754,0.846,False,,parsed,
7,Round 3,3,11,20,51,0.2274,0.861,0.842,0.873,False,,parsed,
7,Round 3,3,12,20,52,0.2189,0.861,0.842,0.827,False,,parsed,
7,Round 3,3,13,20,53,0.2082,0.833,0.823,0.869,False,,parsed,
7,Round 3,3,14,20,54,0.1981,0.833,0.792,0.862,False,,parsed,
7,Round 3,3,15,20,55,0.2409,0.861,0.842,0.827,False,,parsed,
7,Round 3,3,16,20,56,0.1714,0.833,0.823,0.881,False,,parsed,
7,Round 3,3,17,20,57,0.2328,0.806,0.804,0.858,False,,parsed,
7,Round 3,3,18,20,58,0.2529,0.806,0.804,0.877,False,,parsed,
7,Round 3,3,19,20,59,0.2092,0.778,0.785,0.877,False,,parsed,
7,Round 3,3,20,20,60,0.1815,0.806,0.773,0.858,False,,parsed,
8,Round 1,1,1,60,1,0.607,0.542,0.55,0.63,True,0.63,parsed,
8,Round 1,1,2,60,2,0.5741,0.875,0.828,0.891,True,0.891,parsed,
8,Round 1,1,3,60,3,0.5988,0.75,0.739,0.832,False,,parsed,
8,Round 1,1,4,60,4,0.5814,0.833,0.798,0.891,False,,parsed,
8,Round 1,1,5,60,5,0.5923,0.833,0.798,0.891,False,,parsed,
8,Round 1,1,6,60,6,0.5845,0.875,0.828,0.874,False,,parsed,
8,Round 1,1,7,60,7,0.5725,0.75,0.613,0.874,False,,parsed,
8,Round 1,1,8,60,8,0.5939,0.833,0.756,0.866,False,,parsed,
8,Round 1,1,9,60,9,0.554,0.792,0.769,0.866,False,,parsed,
8,Round 1,1,10,60,10,0.5894,0.75,0.613,0.824,False,,parsed,
8,Round 1,1,11,60,11,0.5508,0.708,0.626,0.756,False,,parsed,
8,Round 1,1,12,60,12,0.5843,0.708,0.626,0.748,False,,parsed,
8,Round 1,1,13,60,13,0.5897,0.75,0.613,0.782,False,,parsed,
8,Round 1,1,14,60,14,0.561,0.75,0.697,0.866,False,,parsed,
8,Round 1,1,15,60,15,0.5747,0.833,0.798,0.815,False,,parsed,
8,Round 1,1,16,60,16,0.5187,0.75,0.655,0.765,False,,parsed,
8,Round 1,1,17,60,17,0.5691,0.625,0.567,0.739,False,,parsed,
8,Round 1,1,18,60,18,0.5586,0.708,0.668,0.773,False,,parsed,
8,Round 1,1,19,60,19,0.5299,0.792,0.727,0.832,False,,parsed,
8,Round 1,1,20,60,20,0.5312,0.75,0.613,0.782,False,,parsed,
8,Round 1,1,21,60,21,0.5454,0.667,0.597,0.731,False,,parsed,
8,Round 1,1,22,60,22,0.5456,0.708,0.584,0.731,False,,parsed,
8,Round 1,1,23,60,23,0.5808,0.792,0.727,0.765,False,,parsed,
8,Round 1,1,24,60,24,0.5173,0.792,0.727,0.773,False,,parsed,
8,Round 1,1,25,60,25,0.5479,0.708,0.71,0.773,False,,parsed,
8,Round 1,1,26,60,26,0.5371,0.833,0.798,0.765,False,,parsed,
8,Round 1,1,27,60,27,0.5371,0.75,0.655,0.731,False,,parsed,
8,Round 1,1,28,60,28,0.5836,0.75,0.613,0.723,False,,parsed,
8,Round 1,1,29,60,29,0.5376,0.75,0.613,0.79,False,,parsed,
8,Round 1,1,30,60,30,0.4966,0.75,0.655,0.739,False,,parsed,
8,Round 1,1,31,60,31,0.5342,0.792,0.685,0.773,False,,parsed,
8,Round 1,1,32,60,32,0.4767,0.75,0.613,0.723,False,,parsed,
8,Round 1,1,33,60,33,0.553,0.75,0.655,0.756,False,,parsed,
8,Round 1,1,34,60,34,0.5453,0.75,0.739,0.756,False,,parsed,
8,Round 1,1,35,60,35,0.5123,0.792,0.685,0.748,False,,parsed,
8,Round 1,1,36,60,36,0.5213,0.75,0.697,0.79,False,,parsed,
8,Round 1,1,37,60,37,0.4714,0.667,0.639,0.655,False,,parsed,
8,Round 1,1,38,60,38,0.5105,0.667,0.681,0.765,False,,parsed,
8,Round 1,1,39,60,39,0.533,0.792,0.685,0.739,False,,parsed,
8,Round 1,1,40,60,40,0.5062,0.583,0.622,0.706,False,,parsed,
8,Round 1,1,41,60,41,0.4979,0.667,0.597,0.765,False,,parsed,
8,Round 1,1,42,60,42,0.5124,0.75,0.697,0.739,False,,parsed,
8,Round 1,1,43,60,43,0.4876,0.75,0.613,0.79,False,,parsed,
8,Round 1,1,44,60,44,0.4906,0.75,0.739,0.773,False,,parsed,
8,Round 1,1,45,60,45,0.5062,0.792,0.727,0.773,False,,parsed,
8,Round 1,1,46,60,46,0.5147,0.833,0.714,0.832,False,,parsed,
8,Round 1,1,47,60,47,0.5049,0.75,0.613,0.824,False,,parsed,
8,Round 1,1,48,60,48,0.5143,0.792,0.685,0.765,False,,parsed,
8,Round 1,1,49,60,49,0.4544,0.75,0.739,0.765,False,,parsed,
8,Round 1,1,50,60,50,0.5369,0.75,0.613,0.79,False,,parsed,
8,Round 1,1,51,60,51,0.5181,0.75,0.739,0.765,False,,parsed,
8,Round 1,1,52,60,52,0.457,0.75,0.697,0.773,False,,parsed,
8,Round 1,1,53,60,53,0.492,0.708,0.71,0.739,False,,parsed,
8,Round 1,1,54,60,54,0.4577,0.708,0.668,0.756,False,,parsed,
8,Round 1,1,55,60,55,0.4665,0.875,0.828,0.891,False,,parsed,
8,Round 1,1,56,60,56,0.5387,0.833,0.798,0.765,False,,parsed,
8,Round 1,1,57,60,57,0.4806,0.792,0.769,0.782,False,,parsed,
8,Round 1,1,58,60,58,0.4914,0.75,0.697,0.79,False,,parsed,
8,Round 1,1,59,60,59,0.4729,0.833,0.756,0.748,False,,parsed,
8,Round 1,1,60,60,60,0.5,0.667,0.639,0.782,False,,parsed,
